    Seq      
          29
          30
           4
          31
          32
          33
          34
          35
          11
          12
          36
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
           3
           4
          20
          21
          22
          23
          24
          25
          26
          14
           2
          18
          19
          27
          28
          29
          30
          31
          32
          33
          34
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
          20
          21
          22
          23
          24
           7
          25
          26
          11
          12
           9
          10
          27
          28
           2
           3
           4
           5
           8
          29
          30
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
          20
          21
          22
          23
          24
          25
          26
           4
           5
          11
          12
          27
          28
           8
           9
          29
          30
          31
          32
          33
          34
          35
          36
          37
          38
          39
          40
          13
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
          20
          21
          22
          23
          24
          25
           4
           2
           3
           5
          26
          27
          28
          29
          30
          31
          32
           9
          33
           8
          34
          35
          36
          37
          17
          18
          38
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
          20
          21
          22
          23
          24
          25
          26
           5
          27
          28
          10
          29
          13
           6
           8
          11
           1
           2
           3
           4
          30
          31
          32
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
          20
          21
          22
          23
          24
          25
          26
          27
          28
          29
          30
          31
          32
          33
          34
          35
          36
          37
          38
          39
          40
          41
          42
          43
          44
          45
          46
          47
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
          20
           2
           9
          10
          21
          22
          23
           8
           7
          24
          25
          26
           4
          27
          15
           9
          10
           2
          28
          14
           7
           8
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
           2
          20
          21
           4
           3
           9
          22
          23
          24
          25
          26
          27
          28
          29
          10
          30
          31
          12
          32
          33
           8
          34
          13
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
           3
           5
           8
           9
           7
           6
          12
          13
          14
          15
          16
          17
          18
          19
           3
           8
           9
           5
          11
          10
           7
          20
           6
          21
           8
           9
           3
          22
           5
           7
          16
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
           1
          12
          13
          14
           3
           4
          15
          16
           2
          17
          18
           8
          10
          19
          20
          21
          22
           3
           4
           1
           6
           2
           3
           4
          23
          24
          25
           1
           2
           8
          10
          26
          17
          27
          28
          29
           3
           4
           6
          30
          31
          32
          33
          34
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
           1
          16
          17
          18
          19
          20
           9
          10
           2
           3
          21
          22
          23
          24
          11
           8
          25
          26
           1
           9
          10
          27
          28
          29
          15
          30
           9
          10
           1
           2
           3
          31
          32
          33
           8
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
          19
          20
          21
          22
          23
          24
          25
          26
          27
          28
          29
          30
           9
          10
          31
          32
          33
          34
          17
          18
          35
          36
          37
          38
          39
          40
          41
          42
           0
           0
           1
           2
           3
           4
           5
           6
           7
           8
           9
          10
          11
          12
          13
          14
          15
          16
          17
          18
           7
           8
          19
          20
          21
           9
          22
          23
          24
          25
           7
           8
          26
          11
           9
          27
          28
          29
           7
           8
          30
          31
          32
          33
          34
          35
          36
          37
          38
          22
          39
          25
          40
           9
          41
          42
          43
          44
          45
           0
